tns_name,previous_name,repeater_name,snr_fitb,dm_fitb,dm_fitb_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes
FRB20181130A,-9999,-9999,43.7,220.09,0.004,1,0.6,-9999,1.3,0.7,-9999
FRB20181201A,-9999,-9999,43.6,694.36,0.06,0.4,0.2,-9999,19,6,-9999
FRB20181201B,-9999,-9999,17.4,876.58,0.02,0.7,0.3,-9999,2.2,0.9,-9999
FRB20181202A,-9999,-9999,40.6,667.955,0.005,2.6,0.9,-9999,14,4,-9999
FRB20181202B,-9999,-9999,20.1,825.883,0.007,1,0.4,-9999,4,1,-9999
FRB20181202C,-9999,-9999,19,557.16,0.009,0.5,0.3,-9999,3,2,-9999
FRB20181203A,-9999,-9999,29.4,635.925,0.002,1.7,0.7,-9999,4,1,-9999
FRB20181203B,-9999,-9999,35.4,375.387,0.004,1.4,0.6,-9999,5,2,-9999
FRB20181203C,-9999,-9999,22.5,2444.57,0.02,1,0.6,-9999,5,3,-9999
FRB20181208A,-9999,-9999,29.7,562.78,0.01,0.9,0.4,-9999,4,1,-9999
FRB20181209A,-9999,-9999,47.4,328.656,0.004,2,1,-9999,3,1,-9999
FRB20181213A,-9999,-9999,21.6,678.67,0.01,0.9,0.4,-9999,3,1,-9999
FRB20181213B,-9999,-9999,16.3,626.59,0.01,0.8,0.5,-9999,2,1,-9999
FRB20181213C,-9999,-9999,15,380.74,0.02,0.6,0.4,-9999,2,1,-9999
FRB20181214A,-9999,-9999,45.2,468.15,0.01,0.16,0.08,-9999,0.4,0.2,-9999
FRB20181214B,-9999,-9999,13.3,1120.75,0.01,0.4,0.2,-9999,1.2,0.4,-9999
FRB20181214C,-9999,-9999,39.9,632.785,0.004,1.2,0.4,-9999,5,2,-9999
FRB20181214D,-9999,-9999,28.5,1177.32,0.02,0.6,0.3,-9999,9,4,-9999
FRB20181214F,-9999,-9999,20.2,2105.8,0.1,0.3,0.2,-9999,2.2,0.9,-9999
FRB20181215A,-9999,-9999,11.8,412.63,0.02,0.3,0.2,-9999,0.7,0.2,-9999
FRB20181215B,-9999,-9999,29.8,494.014,0.002,2,1,-9999,3,2,-9999
FRB20181216A,-9999,-9999,15.7,542.738,0.005,0.9,0.7,-9999,2,1,-9999
FRB20181217A,-9999,-9999,15.8,1177.167,0.006,0.6,0.2,-9999,1.8,0.6,-9999
FRB20181218A,-9999,-9999,30.8,1874.41,0.03,0.8,0.6,-9999,2,1,-9999
FRB20181218B,-9999,-9999,14.9,753.4,0.02,0.6,0.4,-9999,2,1,-9999
FRB20181218C,-9999,-9999,13.5,384.2,0.1,0.3,0.2,-9999,1.7,0.7,-9999
FRB20181219B,-9999,-9999,43,1952.166,0.003,5,4,-9999,30,20,-9999
FRB20181219C,-9999,-9999,27.7,647.89,0.01,0.21,0.09,-9999,0.6,0.2,-9999
FRB20181219A,-9999,FRB20181128A,16.3,451.81,0.07,0.4,0.3,-9999,5,3,-9999
FRB20181220A,-9999,-9999,40.1,209.402,0.005,1.3,0.8,-9999,3,2,-9999
FRB20181220B,-9999,-9999,24.7,257.799,0.003,3,2,-9999,4,3,-9999
