"frb_name","utc","telescope","rop_receiver","rop_backend","rop_beam","rop_beam_semi_major_axis","rop_beam_semi_minor_axis","rop_beam_rotation_angle","rop_raj","rop_decj","rop_gl","rop_gb","rop_sampling_time","rop_bandwidth","rop_centre_frequency","rop_npol","rop_bits_per_sample","rop_gain","rop_tsys","rop_mw_dm_limit","rop_galactic_electron_model","rmp_dm","rmp_width","rmp_snr","rmp_flux","rmp_dm_index","rmp_scattering_index","rmp_scattering","rmp_scattering_model","rmp_scattering_timescale","rmp_linear_poln_frac","rmp_circular_poln_frac","rmp_spectral_index","rmp_rm","rmp_redshift_host","rmp_dispersion_smearing"
"FRB170906","2017/09/06 13:06:56.488","ASKAP","","","null","10","6","0","21:59.8","-19:57","33.8","-50.2","1.26","336","1297","2","2","0.029","58","39","NE2001","390.3&plusmn0.4","2.5","17","29.6","null","null","null","null","null","null","null","null","null","null","null"
"FRB170827","2017/08/27 16:20:18.000","UTMOST","","","92","null","null","0","00:49:18.66","-65:33:02.3","303.2","-51.7","0.32768","32","835","1","null","null","null","37","NE2001","176.8&plusmn0.04","0.4","110","60","null","null","0.0041&plusmn0.0027","0.0027","null","null","null","null","null","null","null"
"FRB170712","2017/07/12 13:22:17.394","ASKAP","","","null","15","10","0","22:36","-60:57","327.4","-49.2","1.26","336","1297","2","2","0.029","58","38","NE2001","312.79&plusmn0.07","1.4","12.7","37.8","null","null","null","null","null","null","null","null","null","null","null"
"FRB170707","2017/07/07 06:17:34.354","ASKAP","","","null","30","20","0","02:59","-57:16","275","-52.4","1.26","336","1297","2","2","0.029","58","36","NE2001","235.2&plusmn0.6","3.5","9.5","14.8","null","null","null","null","null","null","null","null","null","null","null"
"FRB170606","2017/06/06 10:03:27.000","Pushchino","","","null","15","15","0","05:34:00","41:45:00","167.8","4.79","100","2.5","111","null","null","null","null","250","YMW16","247&plusmn5","3300","8.3","0.54","null","null","null","null","null","null","null","null","null","null","null"
"FRB170428","2017/04/28 18:02:34.700","ASKAP","","","null","30","20","0","21:47","-41:51","359.2","-49.9","1.26","336","1320","2","2","0.029","58","40","NE2001","991.7&plusmn0.9","4.4","10.5","7.7","null","null","null","null","null","null","null","null","null","null","null"
"FRB170416","2017/04/16 23:11:12.799","ASKAP","","","null","15","9","0","22:13","-55:02","337.6","-50","1.26","336","1320","2","2","0.029","58","40","NE2001","523.2&plusmn0.2","5","13","19.4","null","null","null","null","null","null","null","null","null","null","null"
"FRB170107","2017/01/07 20:05:08.139","ASKAP","","","null","10.5","10","0","11:23.3","-05:00","266.1","51.4","1.26","336","1320","2","2","0.029","58","35","NE2001","609.5&plusmn0.5","2.4","16","24.1","null","null","null","null","null","null","null","null","null","null","null"
"FRB161202","2016/12/02 13:24:54.000","Pushchino","null","null","null","null","null","null","23:44:00","+40:48:00","109.395","-20.292","100","2.5","111","null","null","null","null","69.8","NE2001","291&plusmn4","810","7.1","0.29","null","null","null","null","null","null","null","null","null","null","null"
"FRB160920","2016/09/20 03:05:43.000","Pushchino","","","null","15","15","0","05:34:00","41:45:00","167.8","4.79","100","2.5","111","null","null","null","null","250","YMW16","1767&plusmn4","5000","9.1","0.22","null","null","null","null","null","null","null","null","null","null","null"
